,車站種類,車站編號,車站名稱,村里數量,納稅單位,綜合所得總額,所得平均,戶數,人口,男性人口,女性人口,0-14歲人口,15-64歲人口,65歲以上人口,15-19歲人口,20-24歲人口,25-29歲人口,30-34歲人口,35-39歲人口,40-44歲人口,45-49歲人口,50-54歲人口,55-59歲人口,60-64歲人口,博士人口,碩士人口,大學院校人口,專科人口,高中職人口,國中初職人口,小學人口,不識字人口,未婚人口,有偶人口,出生數,死亡數,遷入人口,遷出人口
0,tp_mrt,BL01,台北捷運頂埔站,30,15072.0,1270678.0,852.0,19790.0,53554.0,26650.0,26908.0,6979.0,40391.0,6186.0,2985.0,3697.0,4074.0,3853.0,4629.0,4756.0,4077.0,4179.0,4323.0,3819.0,162.0,2411.0,12392.0,5367.0,14992.0,6660.0,4264.0,255.0,23934.0,22741.0,412.0,322.0,2038.0,2104.0
1,tp_mrt,BL02,台北捷運永寧站,49,25130.0,2148284.0,1444.0,32794.0,88407.0,43516.0,44895.0,11247.0,66950.0,10215.0,4792.0,6122.0,6801.0,6514.0,7693.0,7636.0,6614.0,6960.0,7354.0,6459.0,298.0,4369.0,21421.0,9289.0,24014.0,10546.0,6715.0,394.0,39509.0,37788.0,692.0,482.0,3394.0,3407.0
2,tp_mrt,BL03,台北捷運土城站,63,33535.0,2925024.0,1888.0,43504.0,117022.0,57370.0,59652.0,14963.0,88558.0,13508.0,6238.0,7910.0,8891.0,8649.0,10436.0,10249.0,8711.0,9139.0,9715.0,8616.0,397.0,5911.0,28596.0,12603.0,31339.0,13788.0,8767.0,503.0,52125.0,50177.0,903.0,614.0,4633.0,4468.0
3,tp_mrt,BL04,台北捷運海山站,105,50931.0,4495021.0,3192.0,66921.0,177725.0,87046.0,90684.0,22187.0,132310.0,23242.0,9152.0,11405.0,12808.0,13006.0,16021.0,15708.0,13150.0,13363.0,14273.0,13418.0,692.0,9561.0,43587.0,19472.0,46627.0,20473.0,14098.0,790.0,78269.0,76753.0,1357.0,986.0,7020.0,6696.0
4,tp_mrt,BL05,台北捷運亞東醫院站,141,64662.0,5784559.0,4359.0,86239.0,227308.0,111046.0,116268.0,29035.0,166638.0,31646.0,11472.0,13889.0,15667.0,16397.0,20655.0,20377.0,16782.0,16465.0,17633.0,17296.0,983.0,12868.0,56066.0,25304.0,58136.0,25392.0,18141.0,1074.0,100014.0,98450.0,1696.0,1294.0,8817.0,8554.0
5,tp_mrt,BL06,台北捷運府中站,171,77264.0,7120161.0,5401.0,103356.0,269031.0,131029.0,138010.0,34173.0,195849.0,39021.0,13340.0,15781.0,18017.0,19110.0,24468.0,24572.0,20323.0,19381.0,20396.0,20472.0,1240.0,15957.0,66913.0,30085.0,67297.0,29522.0,22079.0,1379.0,117793.0,117297.0,1978.0,1550.0,10456.0,9768.0
6,tp_mrt,BL07,台北捷運板橋站,168,73422.0,6782623.0,5319.0,99337.0,256451.0,125120.0,131341.0,32494.0,185438.0,38529.0,12581.0,14679.0,16836.0,18018.0,23306.0,23623.0,19533.0,18249.0,19097.0,19527.0,1217.0,15415.0,63634.0,28704.0,63900.0,27948.0,21413.0,1341.0,112082.0,111689.0,1856.0,1534.0,9910.0,9314.0
7,tp_mrt,BL08,台北捷運新埔站,166,70537.0,6541736.0,5272.0,95739.0,246352.0,120228.0,126134.0,30701.0,176771.0,38889.0,11951.0,14074.0,15980.0,17124.0,22042.0,22349.0,18766.0,17633.0,18283.0,18586.0,1226.0,14994.0,61111.0,27360.0,61234.0,26460.0,21485.0,1381.0,107423.0,107126.0,1780.0,1537.0,9088.0,9140.0
8,tp_mrt,BL09,台北捷運江子翠站,159,68002.0,6352298.0,5076.0,92571.0,236920.0,115633.0,121292.0,29924.0,169291.0,37709.0,11467.0,13396.0,15340.0,16336.0,21088.0,21410.0,18090.0,17017.0,17538.0,17617.0,1182.0,14303.0,58512.0,25942.0,58860.0,25284.0,21110.0,1391.0,103440.0,102581.0,1751.0,1502.0,8891.0,8986.0
9,tp_mrt,BL10,台北捷運龍山寺站,144,67808.0,7523795.0,5258.0,90799.0,218973.0,106034.0,112946.0,28192.0,151705.0,39078.0,9899.0,11641.0,12805.0,13915.0,18463.0,18911.0,16708.0,16448.0,16767.0,16163.0,2286.0,18552.0,60821.0,23994.0,49147.0,18195.0,16273.0,1124.0,93884.0,95655.0,1671.0,1616.0,11310.0,12668.0
10,tp_mrt,BL11,台北捷運西門站,159,76789.0,8864569.0,5944.0,102824.0,241629.0,116022.0,125616.0,31361.0,165625.0,44646.0,10350.0,12333.0,13787.0,15373.0,20644.0,20698.0,17932.0,18046.0,18464.0,18015.0,2868.0,21855.0,68914.0,26328.0,52764.0,18966.0,17081.0,1086.0,103506.0,105195.0,1916.0,1856.0,13493.0,15153.0
11,tp_mrt,BL12,台北捷運台北車站,169,90114.0,11146716.0,6800.0,116593.0,274167.0,130527.0,143648.0,36348.0,185569.0,52254.0,11596.0,13663.0,15100.0,17110.0,23026.0,23166.0,20235.0,20259.0,20808.0,20631.0,3806.0,27572.0,82655.0,30165.0,56426.0,18728.0,17044.0,1013.0,117062.0,121308.0,2151.0,2069.0,15641.0,17864.0
12,tp_mrt,BL13,台北捷運善導寺站,148,93008.0,12414980.0,6718.0,115941.0,274727.0,129659.0,145078.0,38195.0,182941.0,53594.0,11730.0,13408.0,14481.0,16484.0,22580.0,23100.0,20233.0,20107.0,20445.0,20398.0,4474.0,30859.0,87364.0,30318.0,52630.0,15443.0,14256.0,816.0,117143.0,123729.0,2155.0,1998.0,16239.0,18414.0
13,tp_mrt,BL14,台北捷運忠孝新生站,151,99462.0,13909745.0,7321.0,119811.0,288244.0,134864.0,153390.0,41891.0,189609.0,56746.0,12519.0,13945.0,14763.0,16750.0,23264.0,24206.0,21400.0,20870.0,20967.0,20964.0,5231.0,35396.0,96154.0,31707.0,51077.0,13475.0,12355.0,638.0,123083.0,131965.0,2230.0,1975.0,17181.0,19192.0
14,tp_mrt,BL15,台北捷運忠孝復興站,142,99137.0,14030850.0,7022.0,117355.0,285416.0,133317.0,152104.0,40081.0,187936.0,57402.0,12418.0,14055.0,14725.0,16546.0,22564.0,23404.0,21226.0,20972.0,21070.0,20991.0,5156.0,35982.0,97985.0,31951.0,49177.0,12453.0,11717.0,609.0,120728.0,132179.0,2161.0,1960.0,15711.0,18068.0
15,tp_mrt,BL16,台北捷運忠孝敦化站,145,101870.0,14262737.0,7050.0,119814.0,294943.0,138222.0,156725.0,40555.0,195038.0,59359.0,12892.0,14691.0,15573.0,17360.0,23375.0,24004.0,21820.0,21730.0,21882.0,21739.0,5004.0,36331.0,101241.0,33225.0,51504.0,13296.0,12770.0,684.0,124289.0,137056.0,2238.0,2037.0,15205.0,17927.0
16,tp_mrt,BL17,台北捷運國父紀念館站,131,91898.0,12679052.0,6247.0,107534.0,266356.0,125009.0,141353.0,35870.0,177016.0,53475.0,11578.0,13417.0,14343.0,15940.0,21361.0,21664.0,19678.0,19642.0,19811.0,19600.0,4134.0,32117.0,91588.0,30295.0,46934.0,12328.0,12108.0,674.0,111671.0,124315.0,2047.0,1836.0,13350.0,15909.0
17,tp_mrt,BL18,台北捷運市政府站,124,85000.0,11405024.0,5760.0,99635.0,247047.0,116071.0,130980.0,32480.0,165388.0,49185.0,10738.0,12567.0,13536.0,15121.0,20115.0,20212.0,18275.0,18247.0,18403.0,18192.0,3473.0,28667.0,84213.0,28482.0,44773.0,11919.0,12037.0,693.0,103280.0,115180.0,1929.0,1695.0,12067.0,14627.0
18,tp_mrt,BL19,台北捷運永春站,97,66278.0,8628529.0,4355.0,78536.0,194991.0,91963.0,103031.0,25504.0,131370.0,38122.0,8457.0,9960.0,10835.0,12170.0,16180.0,16202.0,14506.0,14424.0,14452.0,14192.0,2516.0,21797.0,65509.0,22611.0,36220.0,9853.0,10125.0,591.0,81505.0,90758.0,1561.0,1333.0,9197.0,11423.0
