Country,District,Village,Village_ID
台北市,松山區,莊敬里,63000010-002
台北市,松山區,東榮里,63000010-003
台北市,松山區,三民里,63000010-004
台北市,松山區,新益里,63000010-005
台北市,松山區,富錦里,63000010-006
台北市,松山區,新東里,63000010-007
台北市,松山區,富泰里,63000010-008
台北市,松山區,介壽里,63000010-009
台北市,松山區,精忠里,63000010-010
台北市,松山區,東光里,63000010-011
台北市,松山區,龍田里,63000010-012
台北市,松山區,東昌里,63000010-013
台北市,松山區,東勢里,63000010-014
台北市,松山區,中華里,63000010-015
台北市,松山區,民有里,63000010-016
台北市,松山區,民福里,63000010-017
台北市,松山區,慈祐里,63000010-018
台北市,松山區,安平里,63000010-019
台北市,松山區,鵬程里,63000010-020
台北市,松山區,自強里,63000010-021
台北市,松山區,吉祥里,63000010-022
台北市,松山區,新聚里,63000010-024
台北市,松山區,復盛里,63000010-025
台北市,松山區,中正里,63000010-026
台北市,松山區,中崙里,63000010-027
台北市,松山區,美仁里,63000010-028
台北市,松山區,吉仁里,63000010-029
台北市,松山區,敦化里,63000010-030
台北市,松山區,復源里,63000010-031
台北市,松山區,復建里,63000010-032
台北市,松山區,復勢里,63000010-033
台北市,松山區,福成里,63000010-034
台北市,松山區,松基里,63000010-035
台北市,信義區,西村里,63000020-001
台北市,信義區,正和里,63000020-002
台北市,信義區,興隆里,63000020-003
台北市,信義區,中興里,63000020-004
台北市,信義區,新仁里,63000020-005
台北市,信義區,興雅里,63000020-006
台北市,信義區,敦厚里,63000020-007
台北市,信義區,廣居里,63000020-008
台北市,信義區,安康里,63000020-009
台北市,信義區,六藝里,63000020-010
台北市,信義區,雅祥里,63000020-011
台北市,信義區,五常里,63000020-012
台北市,信義區,五全里,63000020-013
台北市,信義區,永吉里,63000020-014
台北市,信義區,長春里,63000020-015
台北市,信義區,四育里,63000020-016
台北市,信義區,四維里,63000020-017
台北市,信義區,永春里,63000020-018
台北市,信義區,富台里,63000020-019
台北市,信義區,國業里,63000020-020
台北市,信義區,松隆里,63000020-021
台北市,信義區,松友里,63000020-022
台北市,信義區,松光里,63000020-023
台北市,信義區,中坡里,63000020-024
台北市,信義區,中行里,63000020-025
台北市,信義區,大道里,63000020-026
台北市,信義區,大仁里,63000020-027
台北市,信義區,景新里,63000020-028
台北市,信義區,惠安里,63000020-029
台北市,信義區,三張里,63000020-030
台北市,信義區,三犁里,63000020-031
台北市,信義區,六合里,63000020-032
台北市,信義區,泰和里,63000020-033
台北市,信義區,景聯里,63000020-034
台北市,信義區,景勤里,63000020-035
台北市,信義區,雙和里,63000020-036
台北市,信義區,嘉興里,63000020-037
台北市,信義區,黎順里,63000020-038
台北市,信義區,黎平里,63000020-039
台北市,信義區,黎忠里,63000020-040
台北市,信義區,黎安里,63000020-041
台北市,大安區,德安里,63000030-001
台北市,大安區,仁慈里,63000030-002
台北市,大安區,和安里,63000030-003
台北市,大安區,民炤里,63000030-004
台北市,大安區,仁愛里,63000030-005
台北市,大安區,義村里,63000030-006
台北市,大安區,民輝里,63000030-007
台北市,大安區,昌隆里,63000030-008
台北市,大安區,誠安里,63000030-009
台北市,大安區,光武里,63000030-010
台北市,大安區,龍坡里,63000030-011
台北市,大安區,龍泉里,63000030-012
台北市,大安區,古風里,63000030-013
台北市,大安區,古莊里,63000030-014
台北市,大安區,龍安里,63000030-015
台北市,大安區,錦安里,63000030-016
台北市,大安區,福住里,63000030-017
台北市,大安區,永康里,63000030-018
台北市,大安區,光明里,63000030-019
台北市,大安區,錦泰里,63000030-020
台北市,大安區,錦華里,63000030-021
台北市,大安區,龍圖里,63000030-022
台北市,大安區,新龍里,63000030-023
台北市,大安區,龍陣里,63000030-026
台北市,大安區,龍雲里,63000030-027
台北市,大安區,龍生里,63000030-028
台北市,大安區,住安里,63000030-029
台北市,大安區,義安里,63000030-030
台北市,大安區,通化里,63000030-031
台北市,大安區,通安里,63000030-032
台北市,大安區,臨江里,63000030-033
台北市,大安區,法治里,63000030-034
台北市,大安區,全安里,63000030-035
台北市,大安區,群賢里,63000030-036
台北市,大安區,群英里,63000030-037
台北市,大安區,虎嘯里,63000030-038
台北市,大安區,臥龍里,63000030-039
台北市,大安區,龍淵里,63000030-040
台北市,大安區,龍門里,63000030-041
台北市,大安區,大學里,63000030-043
台北市,大安區,芳和里,63000030-044
台北市,大安區,黎元里,63000030-046
台北市,大安區,黎孝里,63000030-047
台北市,大安區,黎和里,63000030-048
台北市,大安區,建安里,63000030-049
台北市,大安區,建倫里,63000030-050
台北市,大安區,敦安里,63000030-051
台北市,大安區,正聲里,63000030-052
台北市,大安區,敦煌里,63000030-053
台北市,大安區,華聲里,63000030-054
台北市,大安區,車層里,63000030-055
台北市,大安區,光信里,63000030-056
台北市,大安區,學府里,63000030-057
台北市,中山區,正守里,63000040-001
台北市,中山區,正義里,63000040-002
台北市,中山區,正得里,63000040-003
台北市,中山區,民安里,63000040-004
台北市,中山區,康樂里,63000040-005
台北市,中山區,中山里,63000040-006
台北市,中山區,聚盛里,63000040-007
台北市,中山區,集英里,63000040-008
台北市,中山區,聚葉里,63000040-009
台北市,中山區,恆安里,63000040-010
台北市,中山區,晴光里,63000040-011
台北市,中山區,圓山里,63000040-012
台北市,中山區,劍潭里,63000040-013
台北市,中山區,大直里,63000040-014
台北市,中山區,成功里,63000040-015
台北市,中山區,永安里,63000040-016
台北市,中山區,大佳里,63000040-017
台北市,中山區,新喜里,63000040-018
台北市,中山區,新庄里,63000040-019
台北市,中山區,新福里,63000040-020
台北市,中山區,松江里,63000040-021
台北市,中山區,新生里,63000040-022
台北市,中山區,中庄里,63000040-023
台北市,中山區,行政里,63000040-024
台北市,中山區,行仁里,63000040-025
台北市,中山區,行孝里,63000040-026
台北市,中山區,下埤里,63000040-027
台北市,中山區,江寧里,63000040-028
台北市,中山區,江山里,63000040-029
台北市,中山區,中吉里,63000040-030
台北市,中山區,中原里,63000040-031
台北市,中山區,興亞里,63000040-032
台北市,中山區,中央里,63000040-033
台北市,中山區,朱馥里,63000040-034
台北市,中山區,龍洲里,63000040-035
台北市,中山區,朱園里,63000040-036
台北市,中山區,埤頭里,63000040-037
台北市,中山區,朱崙里,63000040-038
台北市,中山區,力行里,63000040-039
台北市,中山區,復華里,63000040-040
台北市,中山區,金泰里,63000040-041
台北市,中山區,北安里,63000040-042
台北市,中正區,水源里,63000050-001
台北市,中正區,富水里,63000050-002
台北市,中正區,文盛里,63000050-003
台北市,中正區,林興里,63000050-004
台北市,中正區,河堤里,63000050-005
台北市,中正區,頂東里,63000050-006
台北市,中正區,網溪里,63000050-007
台北市,中正區,板溪里,63000050-008
台北市,中正區,螢圃里,63000050-009
台北市,中正區,螢雪里,63000050-010
台北市,中正區,永功里,63000050-011
台北市,中正區,永昌里,63000050-012
台北市,中正區,龍興里,63000050-013
台北市,中正區,忠勤里,63000050-014
台北市,中正區,廈安里,63000050-015
台北市,中正區,愛國里,63000050-016
台北市,中正區,南門里,63000050-017
台北市,中正區,龍光里,63000050-018
台北市,中正區,南福里,63000050-019
台北市,中正區,龍福里,63000050-020
台北市,中正區,新營里,63000050-021
台北市,中正區,建國里,63000050-022
台北市,中正區,光復里,63000050-023
台北市,中正區,黎明里,63000050-024
台北市,中正區,梅花里,63000050-025
台北市,中正區,幸福里,63000050-026
台北市,中正區,幸市里,63000050-027
台北市,中正區,東門里,63000050-028
台北市,中正區,文北里,63000050-029
台北市,中正區,文祥里,63000050-030
台北市,中正區,三愛里,63000050-031
台北市,大同區,玉泉里,63000060-001
台北市,大同區,建明里,63000060-002
台北市,大同區,建功里,63000060-003
台北市,大同區,建泰里,63000060-004
台北市,大同區,永樂里,63000060-005
台北市,大同區,朝陽里,63000060-006
台北市,大同區,星明里,63000060-007
台北市,大同區,光能里,63000060-008
台北市,大同區,大有里,63000060-009
台北市,大同區,延平里,63000060-010
台北市,大同區,雙連里,63000060-011
台北市,大同區,南芳里,63000060-012
台北市,大同區,民權里,63000060-013
台北市,大同區,景星里,63000060-014
台北市,大同區,隆和里,63000060-015
台北市,大同區,蓬萊里,63000060-016
台北市,大同區,國順里,63000060-017
台北市,大同區,國慶里,63000060-018
台北市,大同區,揚雅里,63000060-019
台北市,大同區,斯文里,63000060-020
台北市,大同區,鄰江里,63000060-021
台北市,大同區,至聖里,63000060-022
台北市,大同區,老師里,63000060-024
台北市,大同區,重慶里,63000060-025
台北市,大同區,保安里,63000060-026
台北市,萬華區,福星里,63000070-001
台北市,萬華區,萬壽里,63000070-002
台北市,萬華區,西門里,63000070-003
台北市,萬華區,新起里,63000070-004
台北市,萬華區,菜園里,63000070-005
台北市,萬華區,青山里,63000070-006
台北市,萬華區,富民里,63000070-007
台北市,萬華區,福音里,63000070-008
台北市,萬華區,仁德里,63000070-009
台北市,萬華區,富福里,63000070-010
台北市,萬華區,頂碩里,63000070-011
台北市,萬華區,雙園里,63000070-012
台北市,萬華區,新忠里,63000070-013
台北市,萬華區,新和里,63000070-014
台北市,萬華區,糖廍里,63000070-015
台北市,萬華區,和平里,63000070-016
台北市,萬華區,綠堤里,63000070-017
台北市,萬華區,華江里,63000070-018
台北市,萬華區,柳鄉里,63000070-019
台北市,萬華區,日善里,63000070-020
台北市,萬華區,新安里,63000070-021
台北市,萬華區,忠德里,63000070-022
台北市,萬華區,孝德里,63000070-023
台北市,萬華區,和德里,63000070-024
台北市,萬華區,錦德里,63000070-025
台北市,萬華區,全德里,63000070-026
台北市,萬華區,保德里,63000070-027
台北市,萬華區,銘德里,63000070-028
台北市,萬華區,榮德里,63000070-029
台北市,萬華區,壽德里,63000070-030
台北市,萬華區,興德里,63000070-031
台北市,萬華區,華中里,63000070-032
台北市,萬華區,日祥里,63000070-033
台北市,萬華區,忠貞里,63000070-034
台北市,萬華區,凌霄里,63000070-035
台北市,萬華區,騰雲里,63000070-036
台北市,文山區,景行里,63000080-001
台北市,文山區,景東里,63000080-002
台北市,文山區,景美里,63000080-003
台北市,文山區,景慶里,63000080-004
台北市,文山區,景仁里,63000080-005
台北市,文山區,景華里,63000080-006
台北市,文山區,萬有里,63000080-007
台北市,文山區,萬祥里,63000080-008
台北市,文山區,萬隆里,63000080-009
台北市,文山區,萬年里,63000080-010
台北市,文山區,萬和里,63000080-011
台北市,文山區,萬盛里,63000080-012
台北市,文山區,興豐里,63000080-013
台北市,文山區,興光里,63000080-014
台北市,文山區,興家里,63000080-015
台北市,文山區,興得里,63000080-016
台北市,文山區,興業里,63000080-017
台北市,文山區,興安里,63000080-018
台北市,文山區,興福里,63000080-019
台北市,文山區,興旺里,63000080-020
台北市,文山區,興泰里,63000080-021
台北市,文山區,興昌里,63000080-022
台北市,文山區,試院里,63000080-023
台北市,文山區,華興里,63000080-024
台北市,文山區,明義里,63000080-025
台北市,文山區,明興里,63000080-026
台北市,文山區,木柵里,63000080-027
台北市,文山區,木新里,63000080-028
台北市,文山區,順興里,63000080-029
台北市,文山區,樟林里,63000080-030
台北市,文山區,樟新里,63000080-031
台北市,文山區,樟腳里,63000080-032
台北市,文山區,萬芳里,63000080-033
台北市,文山區,博嘉里,63000080-034
台北市,文山區,萬興里,63000080-035
台北市,文山區,指南里,63000080-036
台北市,文山區,老泉里,63000080-037
台北市,文山區,忠順里,63000080-038
台北市,文山區,萬美里,63000080-039
台北市,文山區,政大里,63000080-040
台北市,文山區,樟文里,63000080-041
台北市,文山區,興邦里,63000080-042
台北市,文山區,樟樹里,63000080-043
台北市,南港區,南港里,63000090-001
台北市,南港區,中南里,63000090-002
台北市,南港區,新富里,63000090-003
台北市,南港區,三重里,63000090-004
台北市,南港區,東新里,63000090-005
台北市,南港區,新光里,63000090-006
台北市,南港區,東明里,63000090-007
台北市,南港區,西新里,63000090-008
台北市,南港區,玉成里,63000090-009
台北市,南港區,合成里,63000090-010
台北市,南港區,成福里,63000090-011
台北市,南港區,萬福里,63000090-012
台北市,南港區,鴻福里,63000090-013
台北市,南港區,百福里,63000090-014
台北市,南港區,聯成里,63000090-015
台北市,南港區,舊莊里,63000090-016
台北市,南港區,中研里,63000090-017
台北市,南港區,九如里,63000090-018
台北市,南港區,仁福里,63000090-019
台北市,南港區,重陽里,63000090-020
台北市,內湖區,西湖里,63000100-001
台北市,內湖區,西康里,63000100-002
台北市,內湖區,西安里,63000100-003
台北市,內湖區,港墘里,63000100-005
台北市,內湖區,港都里,63000100-006
台北市,內湖區,港富里,63000100-007
台北市,內湖區,港華里,63000100-008
台北市,內湖區,內湖里,63000100-009
台北市,內湖區,湖濱里,63000100-010
台北市,內湖區,紫星里,63000100-011
台北市,內湖區,大湖里,63000100-012
台北市,內湖區,金龍里,63000100-013
台北市,內湖區,金瑞里,63000100-014
台北市,內湖區,碧山里,63000100-015
