Country,District,Village,Village_ID,Village_Chief,Address,lat,lng
基隆市,中正區,德義里,10017010-001,張建源,基隆市中正區義二路97之 1號,25.1327883,121.746435
基隆市,中正區,正義里,10017010-002,駱錫賢,基隆市中正區義二路147號,25.1338823,121.747188
基隆市,中正區,信義里,10017010-003,江添丁,基隆市中正區正義路69號,25.1345211,121.7483922
基隆市,中正區,義重里,10017010-004,林世英,基隆市中正區義二路252巷1之2號,25.1359302,121.7488892
基隆市,中正區,港通里,10017010-005,簡進發,基隆市中正區中正路34號11F之4,25.133391,121.7450258
基隆市,中正區,中船里,10017010-006,蔣春生,基隆市中正區中船路36巷12弄32號,25.1351325,121.7517743
基隆市,中正區,正船里,10017010-007,江惠卿,基隆市中正區中船路5巷19號6F,25.1378074,121.7503488
基隆市,中正區,入船里,10017010-008,沈春重,基隆市中正區中船路112巷62號,25.1388621,121.7529826
基隆市,中正區,中砂里,10017010-009,郭蒼成,基隆市中正區中船路112巷4號,25.1379746,121.7515667
基隆市,中正區,正砂里,10017010-010,俞明發,基隆市中正區中正路179號3F,25.1424553,121.7606769
基隆市,中正區,真砂里,10017010-011,魏君龍,基隆市中正區中正路318巷13號,25.1423485,121.7614705
基隆市,中正區,砂灣里,10017010-012,簡曉東,基隆市中正區祥豐街185之2號,25.1432079,121.7653067
基隆市,中正區,建國里,10017010-013,王雅蘭,基隆市中正區祥豐街177巷60之3號,25.1442858,121.7659372
基隆市,中正區,中濱里,10017010-014,謝東榮,基隆市中正區武昌街104巷58號2樓,25.1488397,121.7652944
基隆市,中正區,海濱里,10017010-015,莊哲豪,基隆市中正區北寧路31巷41之7號,25.1515223,121.7736316
基隆市,中正區,社寮里,10017010-016,范詠翔,基隆市中正區和一路41巷2弄28號,25.1546996,121.7666057
基隆市,中正區,和憲里,10017010-017,蘇來成,基隆市中正區和平街25號4F,25.1557775,121.7682838
基隆市,中正區,平寮里,10017010-018,蔡淑貞,基隆市中正區平三路39之2號,25.1557709,121.7631252
基隆市,中正區,八斗里,10017010-019,杜劍秋,基隆市中正區漁港三街68號4樓,25.1413438,121.7964908
基隆市,中正區,碧砂里,10017010-020,黃志強,基隆市中正區北寧路346號3F,25.1407059,121.7922605
基隆市,中正區,長潭里,10017010-021,鍾麗美,基隆市中正區北寧路369巷14號2樓,25.1409909,121.7998001
基隆市,中正區,砂子里,10017010-022,曾秀菁,基隆市中正區觀海街198號13樓,25.1362687,121.7956374
基隆市,中正區,中正里,10017010-023,梁火龍,基隆市中正區中正路393巷38之4號,25.151232,121.7671371
基隆市,中正區,正濱里,10017010-024,林耀基,基隆市中正區中正路517號,25.1526683,121.7683008
基隆市,中正區,新豐里,10017010-025,丁麗娜,基隆市中正區新豐街326號,25.1359695,121.7869112
基隆市,中正區,新富里,10017010-026,蕭猷盛,基隆市中正區新豐街345之3號3樓,25.1356226,121.7871372
基隆市,七堵區,長興里,10017020-001,姚琴富,基隆市七堵區東新街76巷7號,25.0945391,121.7201107
基隆市,七堵區,正光里,10017020-002,邱繼彥,基隆市七堵區開元路44號,25.096668,121.7146094
基隆市,七堵區,富民里,10017020-003,吳明宗,基隆市七堵區崇廉街10巷10號,25.099206,121.7166266
基隆市,七堵區,永平里,10017020-004,黃朝家,基隆市七堵區崇智街11巷26號,25.0993008,121.7126451
基隆市,七堵區,永安里,10017020-005,陳君治,基隆市七堵區自治北街35號,25.0979429,121.711918
基隆市,七堵區,八德里,10017020-006,余文財,基隆市七堵區大華一路61巷18號,25.1016452,121.7154335
基隆市,七堵區,自強里,10017020-007,張仁化,基隆市七堵區自強路16號,25.101377,121.713105
基隆市,七堵區,六堵里,10017020-008,廖國勳,基隆市七堵區工建路1之8號,25.091164,121.701754
基隆市,七堵區,泰安里,10017020-009,詹仁豪,基隆市七堵區泰安路23之60號,25.0884125,121.7083577
基隆市,七堵區,堵北里,10017020-010,林俊德,基隆市七堵區福一街136號,25.083386,121.6952786
基隆市,七堵區,堵南里,10017020-011,余佩儒,基隆市七堵區溪頭街23號,25.0829619,121.6891928
基隆市,七堵區,瑪南里,10017020-012,蘇陳素花,基隆市七堵區大華二路150號,25.1111407,121.6889667
基隆市,七堵區,瑪東里,10017020-013,李文良,基隆市七堵區大同街60之1號,25.1397107,121.6815642
基隆市,七堵區,瑪西里,10017020-014,陳美雲,基隆市七堵區大華三路36號,25.123009,121.678705
基隆市,七堵區,友一里,10017020-015,陳春炎,基隆市七堵區華新一路126號,25.1006353,121.6664521
基隆市,七堵區,友二里,10017020-016,蘇秋福,基隆市七堵區華新二路97巷5號,25.1157773,121.6568882
基隆市,七堵區,正明里,10017020-017,高崑繽,基隆市七堵區開元路102之2號1樓,25.0959834,121.7125222
基隆市,七堵區,百福里,10017020-018,何孟翰,基隆市七堵區百五街91號,25.0841927,121.6977919
基隆市,七堵區,實踐里,10017020-019,吳麗如,基隆市七堵區福二街55號,25.0810213,121.696202
基隆市,七堵區,長安里,10017020-020,張聰龍,基隆市七堵區長安街243巷10號,25.0740855,121.6965486
基隆市,暖暖區,八西里,10017030-001,林明傳,基隆市暖暖區尚仁街35之4號,25.1116517,121.7337595
